model,entite,famille,mape,mase,mae,mse,rmse
NaiveDrift,Entite 1,F2,4.191599623476399,0.4534684381792577,0.03761964131579555,,0.04140374656898854
NaiveDrift,Entite 2,F2,11.255404450953613,0.42299998438238623,0.052331514161404885,,0.06363959388937812
NaiveDrift,Entite 3,F2,9.400652846625105,0.6267801319035924,0.07564099132077969,,0.09940547495552582
NaiveDrift,Entite 5,F2,8.895828770795923,0.8328284843310553,0.05799074499538484,,0.06557351291412772
NaiveDrift,Entite 1,F3,328.9539145968205,0.6433182025406261,0.11900636690532307,,0.1575760588427982
NaiveDrift,Entite 2,F3,31.549813672799925,0.6541689358311058,0.10961484886117445,,0.14322204649684797
NaiveDrift,Entite 5,F3,357.9307632503097,1.2579551788064565,0.15011152424210852,,0.21360017953500157
NaiveDrift,Entite 1,F4,6.810802717571372,1.140302416687023,0.050312098329621066,,0.1099180211828324
NaiveDrift,Entite 1,F5,8.654989292481877,0.6523138559465521,0.05983959547476292,,0.06965066691448969
NaiveDrift,Entite 3,F5,11.023371500204501,0.551806648600438,0.06062725454448229,,0.07804882855676833
NaiveDrift,Entite 4,F5,13.175096252399227,0.6074337351949941,0.08073556973696536,,0.10463297741079702
NaiveDrift,Entite 5,F5,1028.0802906474714,1.211719387306439,0.17901434680921746,,0.22107040367605532
NaiveDrift,Entite 1,F6,90.80124404486862,0.48397282405633263,0.07284877363493301,,0.09832280139718631
NaiveDrift,Entite 5,F6,7.734016786536207,0.40758408576704297,0.044691870232848284,,0.056727566914274205
NaiveDrift,Entite 1,F7,2.909008959916927,0.44011251426495335,0.023658442215816998,,0.02846781329549276
NaiveDrift,Entite 3,F7,400.66555478600725,1.057776545735317,0.13781419415975565,,0.1698753317127487
NaiveDrift,Entite 4,F7,5.122501642760384,0.4202791335317775,0.03522170294419122,,0.046442614781803816
NaiveDrift,Entite 5,F7,139.42964026430806,0.7394060566711326,0.08130971315312321,,0.11337402992426025
NaiveDrift,Entite 1,F1,11.493507548195543,1.2733614396464517,0.09203423060648155,,0.1299304208326033
NaiveDrift,Entite 2,F1,23.47117370844136,0.4618352393851016,0.06546167852524885,,0.09699027302472608
NaiveDrift,Entite 4,F1,1.484094669173207,0.2723935015373466,0.008914622328542163,,0.059632495878885895
NaiveDrift,Entite 5,F1,4.628512905150802,0.43131198590970066,0.04129528278521691,,0.0554237129198967
