model,entite,famille,mape,mase,mae,mse,rmse
NaiveSeasonal,Entite 1,F2,2.8445081593621113,0.3001538263108207,0.024900695031200897,,0.03309278070183301
NaiveSeasonal,Entite 2,F2,35.38788177072708,0.9332321553679321,0.11545497294951894,,0.14558956510988502
NaiveSeasonal,Entite 3,F2,16.542492375293865,1.1203681673435626,0.1352081128748148,,0.19131659882877608
NaiveSeasonal,Entite 5,F2,11.41435692128725,0.9290862204681597,0.06469327491022499,,0.08422463836295521
NaiveSeasonal,Entite 1,F3,514.9292044434866,0.9840988703797581,0.18204681723137092,,0.2660552209473357
NaiveSeasonal,Entite 2,F3,55.606972734778516,0.7472666649316968,0.12521463195346508,,0.18142436020964917
NaiveSeasonal,Entite 5,F3,668.0361779156228,1.2652052613794518,0.15097667505530846,,0.24117459346714376
NaiveSeasonal,Entite 1,F4,6.296296296296296,1.0073145245559039,0.04444444444444443,,0.1115546702045434
NaiveSeasonal,Entite 1,F5,12.37074211831013,0.9062203892457019,0.08313154934407559,,0.10602381689485729
NaiveSeasonal,Entite 3,F5,24.071192646054104,1.1283747881539128,0.12397506568015143,,0.16310151874066273
NaiveSeasonal,Entite 4,F5,23.979417880632212,1.0125130123700106,0.1345756914431866,,0.18862800309101752
NaiveSeasonal,Entite 5,F5,2128.09825846713,1.597325660662068,0.23598220246409876,,0.2997068156225295
NaiveSeasonal,Entite 1,F6,377.51462016810837,1.5340134714732183,0.2309034610655801,,0.2790722487775948
NaiveSeasonal,Entite 5,F6,16.604237588909065,0.8357121609041936,0.09163640277282757,,0.11444596287575515
NaiveSeasonal,Entite 1,F7,3.8752492488377164,0.5734365147793061,0.030825332635686948,,0.04078873525584925
NaiveSeasonal,Entite 3,F7,856.0654392745967,1.8907545497298222,0.2463401326825308,,0.3173288971340631
NaiveSeasonal,Entite 4,F7,15.051386017693314,1.186422373396354,0.09942872026728658,,0.12461503223275856
NaiveSeasonal,Entite 5,F7,234.88690862942326,1.354678146980388,0.14896887921323973,,0.19545523645218682
NaiveSeasonal,Entite 1,F1,14.407548597555392,1.3905462049207769,0.1005039465685246,,0.13358607575393353
NaiveSeasonal,Entite 2,F1,73.6284033710159,1.0546321819581503,0.14948619544416972,,0.1827742908173703
NaiveSeasonal,Entite 4,F1,1.4814814814814816,0.2716071954578044,0.008888888888888889,,0.0596284793999944
NaiveSeasonal,Entite 5,F1,4.282229178557333,0.37704576759822683,0.036099649684202685,,0.06165807269444988
